浓度值,375nm,405nm,450nm,A405_A375,A450_A405,A450_A375,A405_minus_A375,A450_minus_A405,A_sum
0.0473,0.1411,0.02657,0.06412,0.18698099929627024,2.3257163583605367,0.45123152709359604,-0.11453,0.03755,0.23179
0.0473,0.1445,0.02671,0.0636,0.18357388316151205,2.295200288704439,0.4371134020618557,-0.11778999999999999,0.036890000000000006,0.23481000000000002
0.0473,0.1375,0.02689,0.06306,0.19415162454873644,2.2610254571531017,0.4553068592057762,-0.11061000000000001,0.03617000000000001,0.22745
0.0473,0.138,0.02687,0.0625,0.19330935251798562,2.242554718335127,0.44964028776978415,-0.11113,0.035629999999999995,0.22737000000000002
0.0473,0.1401,0.02677,0.06234,0.18972360028348687,2.2448685631976955,0.4418143160878809,-0.11333,0.035570000000000004,0.22921
0.0685,0.119,0.01879,0.06166,0.15658333333333335,3.115715007579585,0.5138333333333334,-0.10021,0.04287,0.19945
0.0685,0.121,0.02248,0.0618,0.1842622950819672,2.632027257240204,0.5065573770491804,-0.09852,0.03932,0.20528
0.0685,0.1217,0.0226,0.06156,0.18418907905460472,2.6084745762711865,0.5017114914425428,-0.09910000000000001,0.038959999999999995,0.20586000000000002
0.0685,0.1131,0.02012,0.06159,0.1763365468886941,2.9161931818181817,0.5397896581945661,-0.09298000000000001,0.04147,0.19481
0.0685,0.1227,0.02133,0.0615,0.17243330638641874,2.7541424093148232,0.4971705739692805,-0.10137,0.04017,0.20553
0.1052,0.0656,0.00951,0.04564,0.14279279279279278,4.342530922930543,0.6852852852852852,-0.05609000000000001,0.03613,0.12075000000000001
0.1052,0.0642,0.00966,0.04594,0.148159509202454,4.309568480300188,0.7046012269938651,-0.05453999999999999,0.03628,0.11979999999999999
0.1052,0.0652,0.00972,0.04603,0.14682779456193354,4.293843283582089,0.6953172205438067,-0.055479999999999995,0.03631,0.12094999999999999
0.1052,0.0624,0.00975,0.04611,0.15378548895899055,4.289302325581396,0.7272870662460568,-0.052649999999999995,0.036359999999999996,0.11825999999999999
0.1052,0.0636,0.01072,0.0461,0.16594427244582044,3.933447098976109,0.7136222910216719,-0.05288,0.03538,0.12042
0.229,0.0305,0.00078,0.04295,0.024761904761904763,24.12921348314607,1.3634920634920635,-0.02972,0.04217,0.07423
0.229,0.0305,0.00061,0.0434,0.019365079365079363,26.956521739130437,1.3777777777777778,-0.02989,0.04279,0.07450999999999999
0.229,0.0241,0.00062,0.0436,0.024701195219123506,26.913580246913583,1.7370517928286853,-0.02348,0.04298,0.06831999999999999
0.229,0.0244,0.00093,0.04366,0.03661417322834645,22.621761658031087,1.7188976377952754,-0.02347,0.04273,0.06899
0.229,0.0206,0.00118,0.04373,0.05462962962962963,20.059633027522935,2.024537037037037,-0.01942,0.04255,0.06551
